"REF_DATE","GEO","DGUID","Selected livestock","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1921","Saskatchewan","2016A000247","Horses and ponies","Average number","Number","223","units","0","v62727960","9.16.3","10","","","","0"
"1921","Saskatchewan","2016A000247","Total hens and chickens","Number of animals","Number","223","units","0","v62727986","9.25.2","7474024","","","","0"
"1921","Saskatchewan","2016A000247","Total hens and chickens","Average number","Number","223","units","0","v62727987","9.25.3","","..","","","0"
"1921","Alberta","2016A000248","Total cattle","Number of animals","Number","223","units","0","v62727992","10.1.2","1383552","","","","0"
"1921","Alberta","2016A000248","Total cattle","Average number","Number","223","units","0","v62727993","10.1.3","","..","","","0"
"1921","Alberta","2016A000248","Total pigs","Number of farms reporting","Number","223","units","0","v62728012","10.8.1","41029","","","","0"
"1921","Alberta","2016A000248","Total pigs","Number of animals","Number","223","units","0","v62728013","10.8.2","423258","","","","0"
"1921","Alberta","2016A000248","Total pigs","Average number","Number","223","units","0","v62728014","10.8.3","10","","","","0"
"1921","Alberta","2016A000248","Total sheep","Number of farms reporting","Number","223","units","0","v62728024","10.12.1","4110","","","","0"
"1921","Alberta","2016A000248","Total sheep","Number of animals","Number","223","units","0","v62728025","10.12.2","431464","","","","0"
"1921","Alberta","2016A000248","Total sheep","Average number","Number","223","units","0","v62728026","10.12.3","105","","","","0"
"1921","Alberta","2016A000248","Horses and ponies","Number of farms reporting","Number","223","units","0","v62728036","10.16.1","72992","","","","0"
"1921","Alberta","2016A000248","Horses and ponies","Number of animals","Number","223","units","0","v62728037","10.16.2","806244","","","","0"
"1921","Alberta","2016A000248","Horses and ponies","Average number","Number","223","units","0","v62728038","10.16.3","11","","","","0"
"1921","Alberta","2016A000248","Total hens and chickens","Number of animals","Number","223","units","0","v62728064","10.25.2","4921870","","","","0"
"1921","Alberta","2016A000248","Total hens and chickens","Average number","Number","223","units","0","v62728065","10.25.3","","..","","","0"
"1921","British Columbia","2016A000259","Total cattle","Number of animals","Number","223","units","0","v62728070","11.1.2","209207","","","","0"
"1921","British Columbia","2016A000259","Total cattle","Average number","Number","223","units","0","v62728071","11.1.3","","..","","","0"
"1921","British Columbia","2016A000259","Total pigs","Number of farms reporting","Number","223","units","0","v62728090","11.8.1","6878","","","","0"
"1921","British Columbia","2016A000259","Total pigs","Number of animals","Number","223","units","0","v62728091","11.8.2","41685","","","","0"
"1921","British Columbia","2016A000259","Total pigs","Average number","Number","223","units","0","v62728092","11.8.3","6","","","","0"
"1921","British Columbia","2016A000259","Total sheep","Number of farms reporting","Number","223","units","0","v62728102","11.12.1","1052","","","","0"
"1921","British Columbia","2016A000259","Total sheep","Number of animals","Number","223","units","0","v62728103","11.12.2","61344","","","","0"
"1921","British Columbia","2016A000259","Total sheep","Average number","Number","223","units","0","v62728104","11.12.3","58","","","","0"
"1921","British Columbia","2016A000259","Horses and ponies","Number of farms reporting","Number","223","units","0","v62728114","11.16.1","14609","","","","0"
"1921","British Columbia","2016A000259","Horses and ponies","Number of animals","Number","223","units","0","v62728115","11.16.2","61385","","","","0"
"1921","British Columbia","2016A000259","Horses and ponies","Average number","Number","223","units","0","v62728116","11.16.3","4","","","","0"
"1921","British Columbia","2016A000259","Total hens and chickens","Number of animals","Number","223","units","0","v62728142","11.25.2","1967551","","","","0"
"1921","British Columbia","2016A000259","Total hens and chickens","Average number","Number","223","units","0","v62728143","11.25.3","","..","","","0"
"1926","Canada","2016A000011124","Total cattle","Number of animals","Number","223","units","0","v62727290","1.1.2","","..","","","0"
"1926","Canada","2016A000011124","Total cattle","Average number","Number","223","units","0","v62727291","1.1.3","","..","","","0"
"1926","Canada","2016A000011124","Total pigs","Number of farms reporting","Number","223","units","0","v62727310","1.8.1","","..","","","0"
"1926","Canada","2016A000011124","Total pigs","Number of animals","Number","223","units","0","v62727311","1.8.2","","..","","","0"
"1926","Canada","2016A000011124","Total pigs","Average number","Number","223","units","0","v62727312","1.8.3","","..","","","0"
"1926","Canada","2016A000011124","Total sheep","Number of farms reporting","Number","223","units","0","v62727322","1.12.1","","..","","","0"
"1926","Canada","2016A000011124","Total sheep","Number of animals","Number","223","units","0","v62727323","1.12.2","","..","","","0"
"1926","Canada","2016A000011124","Total sheep","Average number","Number","223","units","0","v62727324","1.12.3","","..","","","0"
"1926","Canada","2016A000011124","Horses and ponies","Number of farms reporting","Number","223","units","0","v62727334","1.16.1","","..","","","0"
"1926","Canada","2016A000011124","Horses and ponies","Number of animals","Number","223","units","0","v62727335","1.16.2","","..","","","0"
"1926","Canada","2016A000011124","Horses and ponies","Average number","Number","223","units","0","v62727336","1.16.3","","..","","","0"
"1926","Canada","2016A000011124","Total hens and chickens","Number of animals","Number","223","units","0","v62727362","1.25.2","","..","","","0"
"1926","Canada","2016A000011124","Total hens and chickens","Average number","Number","223","units","0","v62727363","1.25.3","","..","","","0"
"1926","Prince Edward Island","2016A000211","Total cattle","Number of animals","Number","223","units","0","v62727446","3.1.2","","..","","","0"
"1926","Prince Edward Island","2016A000211","Total cattle","Average number","Number","223","units","0","v62727447","3.1.3","","..","","","0"
"1926","Prince Edward Island","2016A000211","Total pigs","Number of farms reporting","Number","223","units","0","v62727466","3.8.1","","..","","","0"
"1926","Prince Edward Island","2016A000211","Total pigs","Number of animals","Number","223","units","0","v62727467","3.8.2","","..","","","0"
"1926","Prince Edward Island","2016A000211","Total pigs","Average number","Number","223","units","0","v62727468","3.8.3","","..","","","0"
"1926","Prince Edward Island","2016A000211","Total sheep","Number of farms reporting","Number","223","units","0","v62727478","3.12.1","","..","","","0"
"1926","Prince Edward Island","2016A000211","Total sheep","Number of animals","Number","223","units","0","v62727479","3.12.2","","..","","","0"
"1926","Prince Edward Island","2016A000211","Total sheep","Average number","Number","223","units","0","v62727480","3.12.3","","..","","","0"
"1926","Prince Edward Island","2016A000211","Horses and ponies","Number of farms reporting","Number","223","units","0","v62727490","3.16.1","","..","","","0"
"1926","Prince Edward Island","2016A000211","Horses and ponies","Number of animals","Number","223","units","0","v62727491","3.16.2","","..","","","0"
"1926","Prince Edward Island","2016A000211","Horses and ponies","Average number","Number","223","units","0","v62727492","3.16.3","","..","","","0"
"1926","Prince Edward Island","2016A000211","Total hens and chickens","Number of animals","Number","223","units","0","v62727518","3.25.2","","..","","","0"
"1926","Prince Edward Island","2016A000211","Total hens and chickens","Average number","Number","223","units","0","v62727519","3.25.3","","..","","","0"
"1926","Nova Scotia","2016A000212","Total cattle","Number of animals","Number","223","units","0","v62727524","4.1.2","","..","","","0"
"1926","Nova Scotia","2016A000212","Total cattle","Average number","Number","223","units","0","v62727525","4.1.3","","..","","","0"
"1926","Nova Scotia","2016A000212","Total pigs","Number of farms reporting","Number","223","units","0","v62727544","4.8.1","","..","","","0"
"1926","Nova Scotia","2016A000212","Total pigs","Number of animals","Number","223","units","0","v62727545","4.8.2","","..","","","0"
