"REF_DATE","GEO","DGUID","Estimates","Livestock","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1935","Canada","2016A000011124","Exported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62140","1.4.2","3.6","","","","1"
"1935","Canada","2016A000011124","Total slaughterings, farm and meat production","Hogs","Head","148","thousands","3","v61843","1.5.1","4700.1","","","","1"
"1935","Canada","2016A000011124","Total slaughterings, farm and meat production","Sheep and lambs","Head","148","thousands","3","v62141","1.5.2","1609.5","","","","1"
"1935","Canada","2016A000011124","Inspected slaughterings","Hogs","Head","148","thousands","3","v61844","1.6.1","2806.6","","","","1"
"1935","Canada","2016A000011124","Inspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62142","1.6.2","862.8","","","","1"
"1935","Canada","2016A000011124","Uninspected slaughterings","Hogs","Head","148","thousands","3","v61845","1.7.1","1893.5","","","","1"
"1935","Canada","2016A000011124","Uninspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62143","1.7.2","746.7","","","","1"
"1935","Canada","2016A000011124","Imported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62138","1.11.2","0.0","","","","1"
"1935","Canada","2016A000011124","Total supply","Sheep and lambs","Head","148","thousands","3","v62139","1.12.2","1613.1","","","","1"
"1936","Canada","2016A000011124","Estimated farm output","Hogs","Head","148","thousands","3","v61841","1.3.1","5481.7","","","","1"
"1936","Canada","2016A000011124","Estimated farm output","Sheep and lambs","Head","148","thousands","3","v62137","1.3.2","1579.1","","","","1"
"1936","Canada","2016A000011124","Exported alive, farm production","Hogs","Head","148","thousands","3","v61842","1.4.1","76.5","","","","1"
"1936","Canada","2016A000011124","Exported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62140","1.4.2","3.5","","","","1"
"1936","Canada","2016A000011124","Total slaughterings, farm and meat production","Hogs","Head","148","thousands","3","v61843","1.5.1","5405.2","","","","1"
"1936","Canada","2016A000011124","Total slaughterings, farm and meat production","Sheep and lambs","Head","148","thousands","3","v62141","1.5.2","1575.6","","","","1"
"1936","Canada","2016A000011124","Inspected slaughterings","Hogs","Head","148","thousands","3","v61844","1.6.1","3567.0","","","","1"
"1936","Canada","2016A000011124","Inspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62142","1.6.2","828.7","","","","1"
"1936","Canada","2016A000011124","Uninspected slaughterings","Hogs","Head","148","thousands","3","v61845","1.7.1","1838.2","","","","1"
"1936","Canada","2016A000011124","Uninspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62143","1.7.2","746.9","","","","1"
"1936","Canada","2016A000011124","Imported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62138","1.11.2","0.0","","","","1"
"1936","Canada","2016A000011124","Total supply","Sheep and lambs","Head","148","thousands","3","v62139","1.12.2","1579.1","","","","1"
"1937","Canada","2016A000011124","Estimated farm output","Hogs","Head","148","thousands","3","v61841","1.3.1","5828.1","","","","1"
"1937","Canada","2016A000011124","Estimated farm output","Sheep and lambs","Head","148","thousands","3","v62137","1.3.2","1537.3","","","","1"
"1937","Canada","2016A000011124","Exported alive, farm production","Hogs","Head","148","thousands","3","v61842","1.4.1","82.9","","","","1"
"1937","Canada","2016A000011124","Exported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62140","1.4.2","2.9","","","","1"
"1937","Canada","2016A000011124","Total slaughterings, farm and meat production","Hogs","Head","148","thousands","3","v61843","1.5.1","5745.2","","","","1"
"1937","Canada","2016A000011124","Total slaughterings, farm and meat production","Sheep and lambs","Head","148","thousands","3","v62141","1.5.2","1534.4","","","","1"
"1937","Canada","2016A000011124","Inspected slaughterings","Hogs","Head","148","thousands","3","v61844","1.6.1","3801.3","","","","1"
